"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-01-01,0,2,3,1,0,17,5,0,0,0,3,3,1,3,7,4,21,40
2014-01-02,0,1,4,14,7,9,1,0,0,0,0,5,0,2,10,12,11,43
2014-01-03,0,0,3,0,4,7,0,1,0,0,0,6,0,2,4,9,2,16
2014-01-04,0,0,7,1,0,6,1,1,0,0,5,2,1,2,14,11,9,29
2014-01-05,0,0,1,3,3,7,0,0,0,0,0,2,0,1,6,3,11,16
2014-01-06,2,0,0,5,6,7,1,1,0,0,0,3,3,4,6,12,6,32
2014-01-07,0,0,0,7,2,4,7,0,0,0,0,6,6,2,7,11,7,40
2014-01-08,0,1,3,5,1,6,6,1,0,0,0,7,6,9,14,19,8,44
2014-01-09,1,0,4,2,0,8,5,1,0,0,0,6,3,7,23,22,6,51
2014-01-10,0,2,15,7,3,16,0,0,0,0,0,8,0,0,14,13,10,40
2014-01-11,0,0,4,3,1,6,1,0,0,0,0,6,1,3,24,21,21,44
2014-01-12,0,0,5,1,3,6,1,0,0,0,1,2,1,2,16,6,12,45
2014-01-13,0,1,5,4,0,15,10,1,0,0,7,5,3,1,19,6,7,37
2014-01-14,0,1,2,1,2,6,4,3,0,0,4,6,4,2,10,13,4,43
2014-01-15,0,1,11,1,0,9,3,1,0,0,0,3,7,2,34,38,9,54
2014-01-16,0,0,3,6,3,11,3,0,0,0,0,10,8,3,32,39,11,48
2014-01-17,1,1,8,2,2,7,3,0,0,0,0,10,3,2,37,35,24,46
2014-01-18,2,3,8,6,3,7,5,0,0,0,6,4,1,0,34,35,20,38
2014-01-19,0,0,7,3,0,3,0,0,0,0,1,6,7,0,13,14,17,27
2014-01-20,0,1,3,3,3,9,1,0,0,0,1,6,5,3,10,6,8,26
2014-01-21,0,0,3,4,0,3,1,1,1,0,3,6,0,0,10,8,9,28
2014-01-22,1,0,0,2,2,3,2,1,0,0,0,5,1,0,8,13,0,24
2014-01-23,0,2,1,0,1,5,3,1,0,0,1,3,2,2,15,27,4,40
2014-01-24,0,1,1,6,0,8,6,0,0,0,1,7,2,1,19,25,9,42
2014-01-25,1,0,2,5,1,6,9,0,0,0,0,3,0,3,12,13,9,27
2014-01-26,0,1,6,6,0,5,1,0,0,0,1,5,1,4,10,7,13,22
2014-01-27,0,0,1,7,3,6,0,0,0,0,1,3,1,2,12,10,12,36
2014-01-28,1,1,1,3,1,8,5,1,0,0,1,3,3,3,14,11,5,47
2014-01-29,0,0,9,4,2,5,6,0,0,0,2,4,5,3,26,21,8,28
2014-01-30,0,1,6,4,2,7,4,1,0,0,0,3,1,2,22,27,10,32
2014-01-31,0,1,4,4,4,6,2,5,0,0,22,3,2,2,17,16,12,46
2014-02-01,0,0,0,2,6,9,1,0,0,0,1,3,2,2,19,35,14,30
2014-02-02,0,1,0,3,0,1,0,0,0,0,0,5,1,2,15,4,26,28
2014-02-03,0,1,0,0,0,8,2,1,0,0,18,1,1,3,2,2,9,27
2014-02-04,0,2,2,3,2,6,1,0,0,0,0,6,4,6,14,15,3,35
2014-02-05,2,2,4,3,2,8,5,1,0,0,4,8,1,1,25,32,10,45
2014-02-06,0,4,0,4,2,6,5,0,0,0,3,17,1,3,32,42,7,36
2014-02-07,0,0,1,2,1,4,4,4,0,0,2,5,3,1,26,33,14,54
2014-02-08,0,2,1,3,1,9,0,5,0,0,0,3,1,2,26,18,18,45
2014-02-09,0,0,4,2,6,5,1,0,0,0,0,8,1,0,23,11,15,30
2014-02-10,1,1,0,5,7,6,2,1,0,0,0,1,3,1,6,7,8,39
2014-02-11,0,1,2,2,4,6,2,0,0,0,3,7,1,2,20,18,8,28
2014-02-12,0,0,5,3,5,5,2,0,0,0,3,6,0,0,31,26,6,53
2014-02-13,0,1,1,1,0,4,0,0,0,0,0,3,0,1,10,11,11,24
2014-02-14,0,0,0,0,1,4,3,1,0,0,0,8,3,1,11,20,3,25
2014-02-15,0,1,0,6,5,10,1,0,0,0,0,6,0,3,21,16,17,38
2014-02-16,0,0,2,3,0,7,0,0,0,0,3,4,0,0,11,11,15,27
2014-02-17,0,0,1,5,7,7,1,0,0,0,0,9,0,0,7,13,14,65
2014-02-18,1,2,2,2,5,11,4,0,0,0,0,4,1,3,18,12,5,40
2014-02-19,0,1,3,1,1,9,2,1,1,0,0,6,1,2,22,17,7,32
2014-02-20,1,3,5,5,7,8,6,0,0,0,0,5,1,4,30,30,12,61
2014-02-21,0,1,4,2,3,9,2,0,0,0,0,10,4,0,33,35,8,46
2014-02-22,1,1,1,5,3,6,3,0,0,0,0,7,1,2,25,23,20,45
2014-02-23,0,0,3,3,3,11,0,0,0,0,5,4,0,0,29,8,23,57
2014-02-24,0,0,1,2,3,8,1,0,0,0,0,7,8,0,14,6,11,30
2014-02-25,0,0,5,8,5,5,0,0,0,0,1,11,4,1,16,14,10,36
2014-02-26,0,1,9,6,1,10,2,0,0,0,0,3,0,0,28,32,11,42
2014-02-27,1,0,0,2,1,8,1,0,0,1,0,4,3,4,25,32,7,59
2014-02-28,0,1,9,2,5,4,6,1,0,0,0,3,3,0,20,15,7,37
2014-03-01,2,2,3,1,3,7,1,0,0,0,0,9,0,0,25,20,16,23
2014-03-02,1,1,0,2,8,3,2,0,0,0,0,8,1,1,12,11,11,30
2014-03-03,0,0,0,1,2,8,2,0,0,0,0,1,3,2,6,8,7,28
2014-03-04,0,3,2,2,1,6,2,0,0,0,1,4,3,2,17,15,9,34
2014-03-05,0,1,2,2,2,9,3,1,0,0,1,3,1,0,22,25,12,49
2014-03-06,0,1,2,2,4,7,0,2,0,0,0,3,3,5,22,25,8,48
2014-03-07,1,0,1,4,2,10,6,0,0,1,2,2,2,5,37,30,14,57
2014-03-08,0,2,1,1,3,5,5,0,0,0,1,4,1,6,30,32,22,63
2014-03-09,0,0,1,0,3,11,0,0,0,0,0,9,2,3,19,14,16,38
2014-03-10,1,0,2,4,3,6,0,0,0,0,1,6,11,2,25,12,9,45
2014-03-11,0,2,2,3,2,10,1,22,0,0,1,5,5,3,13,15,11,48
2014-03-12,6,3,4,3,10,7,3,0,0,0,0,6,2,1,19,26,10,53
2014-03-13,0,0,8,5,2,10,1,1,0,0,1,4,2,2,25,26,9,40
2014-03-14,3,0,1,2,7,8,0,0,0,1,0,6,3,2,30,27,6,42
2014-03-15,0,1,3,1,2,11,0,1,0,0,0,6,1,1,18,17,16,44
2014-03-16,0,0,3,1,0,2,9,1,0,1,2,11,1,0,14,3,18,43
2014-03-17,0,1,1,3,4,11,4,0,0,0,1,2,2,0,8,8,12,27
2014-03-18,0,3,2,2,1,5,4,0,0,0,0,4,1,4,32,24,12,46
2014-03-19,2,2,2,9,2,11,3,0,0,0,6,11,4,1,25,29,10,69
2014-03-20,0,1,2,3,3,8,25,2,0,0,3,6,3,2,24,21,9,39
2014-03-21,1,0,3,5,1,6,3,1,0,0,1,4,2,2,40,30,14,65
2014-03-22,0,2,0,1,0,16,0,1,0,0,0,6,1,4,20,18,15,38
2014-03-23,0,0,1,3,5,5,2,1,0,0,1,3,2,1,10,4,26,31
2014-03-24,1,0,0,1,3,14,6,0,0,0,0,9,1,0,18,9,4,31
2014-03-25,1,0,1,2,4,7,3,0,0,0,4,2,1,0,22,22,9,34
2014-03-26,0,1,3,1,11,11,7,1,0,0,1,5,5,2,27,31,5,38
2014-03-27,0,0,3,4,0,9,4,3,0,0,0,8,1,6,25,24,12,40
2014-03-28,0,3,12,3,3,5,2,0,0,0,2,5,2,2,23,18,8,64
2014-03-29,0,0,4,1,4,12,7,0,0,0,1,2,3,3,29,34,22,34
2014-03-30,1,1,0,0,4,11,1,2,0,0,2,1,0,0,7,1,9,26
2014-03-31,0,2,2,10,2,16,3,0,0,0,1,4,5,3,12,7,9,48
2014-04-01,1,3,5,5,3,11,7,0,0,0,1,7,2,0,17,15,10,43
2014-04-02,2,1,3,7,3,13,1,0,0,0,1,1,0,3,38,25,5,51
2014-04-03,1,1,0,7,3,17,2,3,0,0,2,5,4,1,33,25,6,50
2014-04-04,0,0,5,2,12,17,0,0,0,0,0,6,2,1,20,23,11,62
2014-04-05,0,1,0,1,3,7,1,0,0,1,3,5,5,1,31,13,14,48
2014-04-06,0,0,0,4,3,6,0,0,0,0,1,8,3,1,14,8,15,30
2014-04-07,0,1,1,4,9,8,2,1,0,0,1,3,2,1,11,4,14,31
2014-04-08,0,3,1,0,3,12,3,0,0,1,0,7,1,10,22,11,7,51
2014-04-09,0,2,2,2,1,10,4,0,0,0,1,6,1,4,27,26,14,60
2014-04-10,0,3,3,5,3,12,13,0,0,0,0,4,1,1,39,41,8,51
2014-04-11,0,3,6,2,3,4,1,0,0,0,2,10,1,3,35,29,5,45
2014-04-12,0,1,2,0,3,12,0,0,0,0,1,5,4,7,30,30,12,45
2014-04-13,0,0,3,5,0,3,2,0,0,0,1,5,4,1,18,8,14,61
2014-04-14,0,0,2,3,3,4,4,1,0,0,1,7,3,9,12,8,5,31
2014-04-15,1,0,3,13,7,4,1,0,0,0,5,4,0,2,21,16,6,43
2014-04-16,1,0,4,3,2,6,1,4,0,0,0,7,2,1,23,37,7,44
2014-04-17,0,0,3,3,2,6,3,0,0,0,1,7,2,1,29,27,8,59
2014-04-18,2,0,7,10,6,12,4,0,0,0,2,9,2,2,37,35,7,72
2014-04-19,0,0,2,1,4,6,1,1,0,0,0,10,1,0,33,28,23,43
2014-04-20,0,0,0,3,0,2,1,1,0,0,0,3,1,3,11,3,13,39
2014-04-21,1,0,5,2,1,15,2,0,0,0,0,7,1,1,19,9,14,35
2014-04-22,0,0,0,9,1,11,7,5,1,1,0,2,4,3,23,23,7,42
2014-04-23,0,1,4,10,3,13,2,1,0,0,2,6,0,1,24,34,3,41
2014-04-24,0,0,1,3,6,9,4,0,0,1,1,6,1,2,26,68,9,48
2014-04-25,0,1,0,6,4,7,4,0,0,0,2,9,2,2,27,20,9,56
2014-04-26,0,1,4,3,2,12,0,1,0,0,2,13,2,1,25,24,10,34
2014-04-27,0,1,0,2,2,14,0,1,0,0,1,6,1,0,17,7,23,41
2014-04-28,0,0,1,1,1,2,2,3,1,0,0,5,6,2,10,9,12,47
2014-04-29,0,2,7,3,7,9,4,0,0,0,0,10,1,3,15,19,12,72
2014-04-30,1,1,1,2,7,9,1,0,0,0,0,5,2,14,16,32,7,71
2014-05-01,0,1,2,2,2,2,0,1,0,0,2,8,0,0,26,27,5,43
2014-05-02,0,0,2,2,4,6,2,2,0,0,1,7,1,0,33,37,12,64
2014-05-03,0,0,2,3,5,6,3,0,0,0,2,9,2,0,37,27,13,39
2014-05-04,3,0,0,2,5,7,1,9,0,0,1,8,0,1,13,7,12,27
2014-05-05,0,0,2,4,3,10,5,1,0,0,2,8,1,2,14,3,6,33
2014-05-06,0,2,2,6,3,15,3,1,0,0,2,0,1,1,33,27,6,44
2014-05-07,0,3,2,8,0,12,1,3,0,0,1,7,12,0,25,28,9,52
2014-05-08,0,0,1,10,3,8,0,2,0,0,1,8,1,1,25,34,6,58
2014-05-09,3,0,4,5,3,7,1,0,0,0,1,11,2,2,41,38,8,55
2014-05-10,0,0,5,1,2,9,0,0,0,0,2,13,2,5,31,24,22,46
2014-05-11,0,1,0,2,0,11,4,0,0,0,0,5,1,0,12,3,19,29
2014-05-12,0,0,2,6,3,13,5,0,0,0,0,6,2,2,20,9,11,37
2014-05-13,0,0,3,4,4,21,0,2,0,0,2,6,6,2,12,24,7,55
2014-05-14,0,0,2,4,5,15,2,1,0,0,0,8,4,0,40,27,6,64
2014-05-15,0,1,1,4,6,11,4,2,0,0,3,7,3,0,27,22,7,46
2014-05-16,0,3,7,4,6,10,9,3,0,0,1,7,4,3,16,30,9,43
2014-05-17,3,0,0,4,4,6,0,2,0,0,1,6,3,1,18,19,10,30
2014-05-18,0,0,0,1,1,3,3,0,0,0,0,9,1,1,10,9,13,36
2014-05-19,0,0,2,0,1,5,7,2,1,0,6,16,4,2,9,12,11,28
2014-05-20,0,1,6,2,4,7,0,1,0,1,0,10,1,1,25,12,6,40
2014-05-21,0,1,3,7,5,12,4,1,0,0,3,8,4,0,10,26,5,42
2014-05-22,1,5,0,3,0,6,8,0,0,1,0,9,1,4,34,42,9,51
2014-05-23,1,0,6,6,4,9,1,1,0,1,1,7,8,1,40,30,6,54
2014-05-24,0,3,1,5,6,3,2,0,0,0,0,4,0,2,26,33,21,41
2014-05-25,0,0,0,4,4,13,3,0,1,0,2,4,0,3,11,4,26,42
2014-05-26,0,0,3,3,5,5,1,0,0,0,0,3,2,2,4,5,13,38
2014-05-27,0,1,1,3,3,12,7,0,0,1,0,6,4,1,28,16,6,37
2014-05-28,0,2,7,3,4,9,7,0,0,0,1,8,4,4,22,43,2,71
2014-05-29,0,3,5,4,6,9,2,1,0,0,3,8,11,2,15,25,5,57
2014-05-30,2,1,11,3,7,8,4,0,0,0,0,8,4,2,33,24,14,45
2014-05-31,0,0,3,1,4,9,3,0,0,0,4,2,3,0,37,29,25,26
2014-06-01,0,0,0,3,2,22,1,0,0,0,0,6,2,1,17,3,11,37
2014-06-02,0,1,8,4,4,6,1,0,0,7,1,11,3,0,19,11,10,46
2014-06-03,1,2,0,4,2,9,3,0,0,0,1,6,8,0,20,23,6,45
2014-06-04,0,0,2,5,6,10,3,0,0,0,9,10,1,3,29,26,10,53
2014-06-05,1,0,2,2,4,9,1,0,0,0,1,5,6,4,38,32,8,51
2014-06-06,0,0,2,10,1,19,2,2,0,0,1,5,2,0,32,33,6,67
2014-06-07,1,1,1,4,0,10,0,2,0,0,4,4,2,0,23,25,23,41
2014-06-08,0,0,2,6,1,8,1,0,0,0,1,4,1,3,11,3,6,34
2014-06-09,1,1,2,2,3,8,10,0,0,0,1,5,1,2,13,5,7,44
2014-06-10,1,1,1,5,6,8,4,2,0,0,0,6,4,1,17,25,2,47
2014-06-11,0,0,7,7,3,10,4,2,0,0,2,7,4,4,51,37,7,50
2014-06-12,1,0,5,3,1,13,1,0,0,0,2,9,2,0,22,27,5,46
2014-06-13,0,2,2,6,2,5,3,4,0,0,3,8,1,2,26,31,4,53
2014-06-14,0,1,2,1,2,9,3,0,0,0,0,6,1,2,40,22,12,44
2014-06-15,0,0,3,5,3,13,3,0,0,0,1,5,0,1,18,12,22,38
2014-06-16,1,0,1,4,4,14,7,0,0,0,1,4,7,1,13,5,3,43
2014-06-17,0,1,8,2,1,8,1,0,0,0,2,9,4,0,17,12,2,36
2014-06-18,1,0,5,7,5,9,5,1,0,0,1,2,4,5,34,32,4,55
2014-06-19,1,1,4,7,3,6,3,0,0,0,3,3,0,0,45,44,10,52
2014-06-20,0,0,7,2,4,8,3,0,0,1,3,11,1,2,32,36,6,52
2014-06-21,0,2,0,5,1,9,2,0,0,0,2,7,2,2,17,13,21,47
2014-06-22,0,0,2,2,3,10,2,0,0,2,0,3,5,0,7,3,16,26
2014-06-23,0,1,1,3,3,10,1,0,0,0,7,6,2,2,4,9,8,36
2014-06-24,0,1,2,5,4,18,0,2,0,0,0,6,6,2,23,27,1,43
2014-06-25,0,1,1,10,3,10,3,0,0,0,0,9,4,0,17,30,4,48
2014-06-26,0,2,1,4,3,12,0,0,0,0,5,8,13,2,26,69,6,53
2014-06-27,1,2,3,6,5,7,2,0,0,0,1,5,2,3,19,15,5,66
2014-06-28,0,0,4,4,11,14,0,1,0,0,1,2,3,0,28,22,16,53
2014-06-29,0,0,0,2,0,9,0,1,0,0,0,7,4,0,14,8,19,32
2014-06-30,0,0,7,1,1,9,7,1,0,0,0,4,3,1,9,1,9,26
2014-07-01,0,2,3,3,1,13,3,1,0,0,1,8,3,2,40,25,4,41
2014-07-02,0,1,6,2,8,4,3,0,0,0,2,7,1,4,20,40,5,66
2014-07-03,2,1,0,6,5,14,2,0,0,1,2,2,5,4,26,28,9,50
2014-07-04,1,1,2,3,3,10,1,4,0,0,2,9,3,2,28,14,10,39
2014-07-05,0,0,1,1,1,13,3,0,0,0,3,7,2,2,18,5,11,41
2014-07-06,0,1,2,2,1,5,3,0,0,0,0,12,2,1,11,5,17,41
2014-07-07,0,0,1,5,1,8,0,0,0,0,1,5,0,2,15,6,9,36
2014-07-08,0,1,3,12,2,9,8,1,0,0,2,6,3,3,18,18,7,43
2014-07-09,0,3,9,4,1,13,4,7,0,0,4,10,3,2,25,22,5,60
2014-07-10,0,2,7,5,0,4,1,3,0,0,0,3,4,0,33,29,5,59
2014-07-11,2,0,0,3,2,9,4,2,0,0,1,8,4,2,25,28,4,62
2014-07-12,1,0,0,3,0,6,2,2,0,0,1,5,4,0,34,18,24,42
2014-07-13,0,0,1,1,2,9,5,0,0,0,2,3,2,3,7,3,10,39
2014-07-14,1,0,1,0,7,7,3,0,0,0,2,2,3,6,7,7,5,40
2014-07-15,0,1,4,4,2,12,1,0,0,0,0,3,0,6,5,6,11,36
2014-07-16,1,0,0,7,3,7,3,2,0,0,3,8,0,2,33,40,6,66
2014-07-17,0,1,2,2,4,18,3,1,0,0,1,5,3,1,24,23,6,45
2014-07-18,0,2,6,5,2,14,5,0,0,1,0,7,5,1,33,33,9,42
2014-07-19,0,1,0,4,2,9,6,1,0,2,1,6,2,5,30,25,30,33
2014-07-20,0,0,1,2,0,2,2,1,0,0,6,10,1,0,22,9,17,22
2014-07-21,4,0,2,2,1,16,3,1,0,4,2,8,4,2,8,9,13,33
2014-07-22,0,1,2,5,2,11,4,0,0,0,1,8,3,1,24,17,7,61
2014-07-23,0,3,5,2,3,1,5,1,0,0,2,9,3,2,37,27,5,53
2014-07-24,0,0,9,3,4,14,2,5,0,0,3,7,4,3,27,40,7,59
2014-07-25,0,0,1,5,0,7,3,1,0,0,0,8,1,0,33,25,5,52
2014-07-26,0,2,3,4,2,4,1,1,0,0,2,6,1,1,20,22,28,49
2014-07-27,0,0,2,9,0,7,8,0,0,0,1,5,1,1,14,9,16,54
2014-07-28,1,0,5,2,2,7,2,4,0,0,3,6,2,5,7,4,1,24
2014-07-29,1,0,10,7,3,15,8,0,0,0,1,10,4,2,27,17,7,59
2014-07-30,0,3,3,5,6,17,5,0,0,0,0,4,2,6,28,21,6,56
2014-07-31,0,1,1,3,2,7,2,0,0,0,6,5,3,2,29,20,9,50
2014-08-01,0,0,2,4,1,4,3,3,0,0,1,2,1,3,28,30,8,60
2014-08-02,1,0,0,5,0,6,2,0,0,0,1,5,2,1,24,21,13,50
2014-08-03,0,0,0,4,2,5,2,0,0,0,2,8,2,0,9,6,13,34
2014-08-04,1,1,5,4,2,16,4,3,0,0,4,4,1,4,8,6,10,26
2014-08-05,4,2,2,3,1,15,3,1,0,0,0,4,3,1,16,18,8,52
2014-08-06,2,2,2,0,3,6,3,1,0,1,1,6,9,2,41,17,3,50
2014-08-07,1,1,7,2,8,10,1,0,0,0,5,4,2,6,30,29,11,49
2014-08-08,0,0,3,4,5,10,7,1,0,0,2,9,2,2,25,22,10,59
2014-08-09,0,0,1,4,1,8,0,4,0,0,1,8,1,0,27,24,25,53
2014-08-10,1,0,1,2,8,14,2,2,0,0,3,5,1,0,14,8,15,36
2014-08-11,0,3,2,0,2,14,2,0,0,0,0,8,2,0,15,5,6,52
2014-08-12,0,1,0,7,2,5,11,4,0,0,3,1,7,1,14,18,9,35
2014-08-13,0,1,7,4,3,10,7,2,0,0,2,7,3,1,37,33,5,45
2014-08-14,0,1,2,5,2,14,4,1,0,1,2,7,17,3,25,31,9,68
2014-08-15,1,2,0,3,0,16,4,0,0,0,0,3,5,0,31,23,8,57
2014-08-16,0,1,1,4,0,19,1,1,0,1,0,7,3,0,30,24,25,34
2014-08-17,0,0,0,7,1,5,2,1,0,0,3,7,1,1,11,8,7,38
2014-08-18,0,1,0,3,4,10,1,2,0,1,2,8,1,2,11,0,10,35
2014-08-19,1,0,2,1,6,11,3,4,0,0,3,9,2,1,23,10,4,42
2014-08-20,0,0,5,3,9,9,3,2,0,1,1,10,7,3,19,14,14,50
2014-08-21,0,0,0,4,3,4,3,0,0,0,5,8,6,4,16,17,10,72
2014-08-22,1,0,1,7,1,8,2,0,0,0,0,5,2,3,28,20,8,52
2014-08-23,0,0,1,1,1,8,8,0,0,0,6,10,2,0,16,12,14,42
2014-08-24,0,2,1,3,4,12,3,1,0,0,0,9,1,2,12,3,20,37
2014-08-25,0,2,3,3,4,13,3,3,0,0,1,10,3,1,11,4,7,36
