"date_value","bail_category","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-01-01,"Total",0,1,1,0,0,17,5,0,0,0,1,4,1,4,8,1,22,30
2014-01-01,"No bail",0,0,0,0,0,0,1,0,0,0,0,2,0,1,6,1,10,7
2014-01-01,"$1-$10k",0,0,0,0,0,14,3,0,0,0,1,1,1,3,2,0,6,9
2014-01-01,"$10k-$25k",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4
2014-01-01,"$25k+",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,9
2014-01-01,"Unknown bail",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1
2014-01-02,"Total",0,3,15,12,11,10,1,0,0,0,2,5,0,3,3,8,9,30
2014-01-02,"No bail",0,0,0,0,0,0,0,0,0,0,1,3,0,1,3,5,5,5
2014-01-02,"$1-$10k",0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,1,1,16
2014-01-02,"$10k-$25k",0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,1,0
2014-01-02,"$25k+",0,1,13,1,7,2,1,0,0,0,0,1,0,1,0,1,2,4
2014-01-02,"Unknown bail",0,2,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,5
2014-01-03,"Total",0,1,10,2,1,7,0,1,0,0,0,8,0,2,9,14,7,22
2014-01-03,"No bail",0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,7,5,5
2014-01-03,"$1-$10k",0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,4,2,10
2014-01-03,"$10k-$25k",0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,3,0,0
2014-01-03,"$25k+",0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-01-03,"Unknown bail",0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
2014-01-04,"Total",0,0,22,1,9,6,1,0,0,0,4,4,1,2,12,11,8,18
2014-01-04,"No bail",0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,3,4,6
2014-01-04,"$1-$10k",0,0,0,0,0,4,1,0,0,0,4,1,1,0,3,3,4,8
2014-01-04,"$10k-$25k",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1
2014-01-04,"$25k+",0,0,22,0,5,0,0,0,0,0,0,0,0,1,1,3,0,2
2014-01-04,"Unknown bail",0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1
2014-01-05,"Total",0,0,1,2,1,5,0,0,0,0,1,3,0,0,5,1,6,17
2014-01-05,"No bail",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,1
2014-01-05,"$1-$10k",0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,6
2014-01-05,"$10k-$25k",0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,4
2014-01-05,"$25k+",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
2014-01-05,"Unknown bail",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
2014-01-06,"Total",1,0,0,7,7,9,1,1,0,0,0,3,3,5,7,6,7,25
2014-01-06,"No bail",0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,3,6,5
2014-01-06,"$1-$10k",0,0,0,2,0,7,0,1,0,0,0,1,0,4,2,2,1,12
2014-01-06,"$10k-$25k",0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,1,0,2
2014-01-06,"$25k+",0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2
2014-01-06,"Unknown bail",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
2014-01-07,"Total",1,1,0,7,2,4,5,0,0,0,0,8,3,2,7,15,8,29
2014-01-07,"No bail",0,0,0,0,0,0,4,0,0,0,0,8,0,1,4,3,5,6
2014-01-07,"$1-$10k",0,0,0,4,0,2,1,0,0,0,0,0,2,1,3,5,3,10
2014-01-07,"$10k-$25k",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,1
2014-01-07,"$25k+",0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,1,0,8
2014-01-07,"Unknown bail",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2014-01-08,"Total",0,1,5,3,2,4,5,1,0,0,0,7,5,7,14,17,5,31
2014-01-08,"No bail",0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,8,3,8
2014-01-08,"$1-$10k",0,0,0,2,0,2,4,0,0,0,0,3,3,7,2,6,0,17
2014-01-08,"$10k-$25k",0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,3,1,1
2014-01-08,"$25k+",0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2014-01-08,"Unknown bail",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
2014-01-09,"Total",1,0,10,10,2,11,2,1,0,0,0,7,2,5,20,16,5,34
2014-01-09,"No bail",0,0,0,0,0,0,0,0,0,0,0,5,1,1,19,5,3,10
2014-01-09,"$1-$10k",0,0,0,4,0,7,2,1,0,0,0,2,0,3,1,8,2,15
