"date_value","dispoType","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-01-02,"Dismissed/Withdrawn/Etc",0,3,3,2,0,2,1,0,0,0,1,6,0,1,6,2,5,15
2014-01-02,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,2
2014-01-02,"Guilty",0,0,0,0,0,1,0,0,0,0,0,2,1,0,5,2,1,6
2014-01-02,"Guilty Plea/Nolo",0,0,0,2,1,2,1,0,0,0,0,4,0,0,1,10,5,16
2014-01-02,"Not Guilty/Acquittal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2014-01-02,"Total",0,3,3,4,1,6,2,0,0,0,1,12,1,1,24,20,15,39
2014-01-03,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
2014-01-03,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
2014-01-04,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-04,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2014-01-04,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-04,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-04,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-04,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2014-01-05,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2014-01-05,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2014-01-06,"Dismissed/Withdrawn/Etc",0,1,6,3,2,13,3,0,0,0,0,0,1,3,7,5,3,29
2014-01-06,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2014-01-06,"Guilty",3,0,0,0,0,1,0,0,0,0,0,4,1,2,7,5,6,11
2014-01-06,"Guilty Plea/Nolo",0,0,2,0,7,3,1,1,0,0,2,2,1,4,2,10,4,8
2014-01-06,"Not Guilty/Acquittal",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
2014-01-06,"Total",3,1,8,3,9,19,4,1,0,0,2,6,3,9,18,20,13,53
2014-01-07,"Dismissed/Withdrawn/Etc",0,0,1,1,1,18,1,0,0,1,0,2,1,3,5,4,4,19
2014-01-07,"Diversion",0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,2
2014-01-07,"Guilty",0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,7,2,5
2014-01-07,"Guilty Plea/Nolo",2,2,8,2,1,1,0,1,0,0,0,8,1,3,4,23,4,18
2014-01-07,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
2014-01-07,"Total",2,2,9,3,2,20,1,1,0,1,0,13,6,6,21,35,12,45
2014-01-08,"Dismissed/Withdrawn/Etc",0,0,1,0,1,5,3,1,0,0,1,1,2,1,7,7,10,18
2014-01-08,"Diversion",0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,5,0,7
2014-01-08,"Guilty",0,0,0,1,0,1,1,0,0,0,1,1,0,0,9,8,5,12
2014-01-08,"Guilty Plea/Nolo",3,0,0,1,1,3,1,1,0,0,0,3,4,0,3,27,12,10
2014-01-08,"Not Guilty/Acquittal",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,9
2014-01-08,"Total",3,0,1,2,2,13,5,2,0,0,2,6,6,1,32,49,27,56
2014-01-09,"Dismissed/Withdrawn/Etc",0,0,0,5,3,20,2,1,0,0,0,6,1,1,7,6,5,42
2014-01-09,"Diversion",0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,1,0,3
2014-01-09,"Guilty",0,0,0,0,2,1,1,1,0,0,0,0,1,0,2,6,4,7
2014-01-09,"Guilty Plea/Nolo",1,3,1,2,0,3,3,0,0,0,0,1,2,0,6,21,10,14
2014-01-09,"Not Guilty/Acquittal",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,7
2014-01-09,"Total",1,3,1,7,6,27,6,2,0,0,1,11,4,1,17,34,21,73
2014-01-10,"Dismissed/Withdrawn/Etc",0,1,0,0,1,5,3,0,0,0,0,1,1,2,4,9,6,14
2014-01-10,"Diversion",0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,2,0,3
2014-01-10,"Guilty",0,0,0,0,1,2,0,0,0,0,1,1,2,0,6,6,5,6
2014-01-10,"Guilty Plea/Nolo",0,0,1,0,0,2,1,0,0,0,0,5,2,0,5,12,5,3
2014-01-10,"Not Guilty/Acquittal",0,0,2,0,2,0,1,0,0,0,0,0,0,0,2,0,1,2
2014-01-10,"Total",0,1,3,0,4,9,5,0,0,1,1,7,7,2,22,29,17,28
2014-01-11,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2014-01-11,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2014-01-12,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-12,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-13,"Dismissed/Withdrawn/Etc",0,0,4,1,0,11,7,0,0,0,1,3,2,3,13,3,11,37
2014-01-13,"Diversion",0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,11,0,1
2014-01-13,"Guilty",1,0,0,0,0,2,0,0,0,0,0,1,2,0,11,4,4,10
2014-01-13,"Guilty Plea/Nolo",2,0,2,5,0,2,4,2,1,0,1,2,0,2,8,15,10,20
2014-01-13,"Not Guilty/Acquittal",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,4,5
2014-01-13,"Total",3,0,6,6,0,16,12,2,1,0,3,6,4,5,46,35,29,73
2014-01-14,"Dismissed/Withdrawn/Etc",0,0,0,3,2,5,3,0,0,0,0,2,1,2,8,3,5,37
2014-01-14,"Diversion",0,0,0,0,0,1,0,0,0,0,0,2,1,0,7,2,0,4
2014-01-14,"Guilty",0,0,0,2,0,2,0,0,0,0,0,1,0,0,6,3,4,12
2014-01-14,"Guilty Plea/Nolo",1,1,0,1,4,11,2,0,0,0,0,2,5,0,2,23,3,17
2014-01-14,"Not Guilty/Acquittal",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4
2014-01-14,"Total",1,1,0,6,6,21,5,0,0,0,0,7,7,2,23,31,15,74
2014-01-15,"Dismissed/Withdrawn/Etc",0,0,6,3,5,3,1,0,0,1,1,1,4,0,4,2,10,21
2014-01-15,"Diversion",0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,5
2014-01-15,"Guilty",0,0,0,1,4,0,0,0,0,0,0,1,4,0,13,4,8,10
2014-01-15,"Guilty Plea/Nolo",1,0,3,4,1,1,3,2,0,1,0,2,5,1,2,9,3,22
2014-01-15,"Not Guilty/Acquittal",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4
2014-01-15,"Total",1,0,9,8,10,8,4,2,0,3,1,4,13,1,35,18,21,62
