"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-01-01,0,1,1,0,0,17,5,0,0,0,1,4,1,4,8,1,22,30
2014-01-02,0,3,15,12,11,11,1,0,0,0,2,5,0,3,3,8,9,29
2014-01-03,0,1,10,2,1,7,0,1,0,0,0,8,0,2,9,14,7,22
2014-01-04,0,0,22,1,9,6,1,0,0,0,4,4,1,2,12,11,8,18
2014-01-05,0,0,1,2,1,5,0,0,0,0,1,3,0,0,5,1,6,17
2014-01-06,1,0,0,7,7,9,1,1,0,0,0,3,3,5,7,6,7,25
2014-01-07,1,1,0,7,2,4,5,0,0,0,0,8,3,2,7,16,8,28
2014-01-08,0,1,5,3,2,4,5,1,0,0,0,7,5,7,14,17,5,31
2014-01-09,1,0,10,10,2,11,2,1,0,0,0,7,2,5,20,16,5,34
2014-01-10,0,0,1,3,1,11,4,0,0,0,0,8,2,4,14,18,9,41
2014-01-11,0,1,27,5,3,8,1,0,0,0,0,9,1,3,27,25,19,31
2014-01-12,0,0,3,3,4,4,1,0,0,0,1,4,1,1,14,6,16,31
2014-01-13,0,1,7,2,0,14,6,1,0,0,21,4,4,2,14,1,7,34
2014-01-14,0,2,4,4,1,13,5,4,0,0,3,8,2,2,13,12,5,36
2014-01-15,0,0,31,1,1,6,5,0,0,0,7,3,4,3,29,22,7,45
2014-01-16,2,0,4,5,3,15,4,0,0,0,0,5,10,5,38,46,11,30
2014-01-17,2,1,11,0,2,2,2,0,0,0,0,9,3,2,28,28,20,28
2014-01-18,0,0,0,6,5,14,6,0,0,0,6,7,1,0,34,43,33,32
2014-01-19,3,2,11,8,0,3,0,0,0,0,1,10,2,0,17,21,20,19
2014-01-20,0,1,7,1,2,12,2,0,0,0,3,6,6,3,5,3,6,23
2014-01-21,0,1,8,4,1,7,1,0,1,0,3,9,3,0,15,7,9,17
2014-01-22,1,0,0,1,2,4,0,1,0,0,0,2,0,0,7,17,0,12
2014-01-23,0,1,5,3,1,4,5,0,0,0,1,4,2,2,12,20,2,32
2014-01-24,0,1,4,2,1,5,4,1,0,0,1,4,1,0,15,16,8,34
2014-01-25,1,0,2,6,1,10,17,0,0,0,0,8,1,1,15,26,10,22
2014-01-26,0,1,6,9,0,9,1,0,0,0,1,5,1,3,11,9,10,14
2014-01-27,0,0,0,3,1,2,0,0,0,0,1,3,2,3,10,3,12,52
2014-01-28,1,1,2,6,1,11,4,0,0,0,1,2,4,1,13,12,7,26
2014-01-29,0,0,6,2,3,6,4,4,0,0,2,7,14,5,28,18,5,29
2014-01-30,0,2,9,5,1,4,7,1,0,0,36,4,2,1,17,21,11,26
2014-01-31,0,1,7,4,7,5,1,2,0,0,0,1,2,2,18,26,12,26
2014-02-01,0,1,0,3,7,10,3,0,0,0,1,5,2,2,20,25,18,31
2014-02-02,0,1,0,3,0,2,0,0,0,0,0,8,2,1,18,15,23,17
2014-02-03,0,1,0,4,2,2,4,0,0,0,4,0,1,1,0,2,15,13
2014-02-04,0,3,6,1,2,4,0,0,0,0,0,8,5,3,12,11,5,23
2014-02-05,1,2,3,1,1,6,5,0,0,0,4,10,0,3,23,26,8,28
2014-02-06,1,1,4,5,4,7,6,1,0,0,3,5,0,2,27,31,6,22
2014-02-07,0,1,0,5,3,8,3,4,0,0,2,3,26,2,26,33,14,39
2014-02-08,0,0,3,7,0,7,1,5,0,0,0,18,1,2,22,25,15,31
2014-02-09,0,2,24,2,3,7,1,0,0,0,0,12,2,1,32,18,18,26
2014-02-10,1,0,0,4,10,3,2,0,0,0,0,4,1,0,2,3,9,22
2014-02-11,0,0,1,1,6,9,2,1,0,0,3,7,3,1,20,15,7,27
2014-02-12,2,1,6,2,1,2,2,0,0,0,3,8,0,1,30,11,5,25
2014-02-13,0,0,7,2,5,4,1,0,0,0,0,4,0,0,14,32,11,29
2014-02-14,0,0,0,0,3,4,5,1,0,0,0,5,2,1,9,9,5,7
2014-02-15,0,0,3,3,7,9,0,0,0,0,0,9,1,3,20,25,15,23
2014-02-16,0,1,2,13,2,8,2,0,0,0,3,7,0,0,12,11,18,23
2014-02-17,0,0,8,5,6,7,0,0,0,0,0,3,0,0,6,11,10,28
2014-02-18,0,3,1,0,4,8,2,1,0,0,0,11,2,3,18,13,8,36
2014-02-19,0,1,3,3,0,12,4,1,0,0,0,5,5,2,18,9,8,32
2014-02-20,0,0,5,1,5,9,5,0,1,0,0,8,1,4,29,31,9,44
2014-02-21,2,3,2,2,5,10,2,0,0,0,0,9,5,1,32,28,10,35
2014-02-22,0,1,4,3,2,5,4,0,0,0,0,4,2,0,23,28,19,26
2014-02-23,0,1,7,2,0,11,1,0,0,0,2,12,0,2,24,16,18,38
2014-02-24,0,1,1,4,1,7,0,0,0,0,3,4,9,0,20,5,12,29
2014-02-25,0,0,2,6,8,8,2,0,0,0,2,10,1,0,15,11,11,31
2014-02-26,5,0,9,7,3,12,0,8,0,0,0,7,1,1,28,25,12,28
2014-02-27,0,0,9,5,0,3,1,0,0,1,0,5,0,2,24,30,8,31
2014-02-28,2,0,4,2,5,4,4,1,0,0,0,3,3,2,21,25,7,49
2014-03-01,0,1,4,2,3,8,3,0,0,0,0,7,1,0,21,19,12,26
2014-03-02,1,3,0,2,7,1,3,0,0,0,0,7,0,1,15,11,11,18
2014-03-03,0,1,0,1,2,5,2,0,0,0,0,7,3,3,6,8,7,18
2014-03-04,0,3,3,2,4,10,1,1,0,0,1,2,3,2,13,5,9,24
2014-03-05,0,2,1,8,3,7,2,1,0,0,1,4,1,1,26,24,12,31
2014-03-06,0,2,6,1,1,7,1,0,0,0,1,8,2,1,25,20,7,35
2014-03-07,1,2,0,2,8,9,4,1,0,1,0,2,1,1,29,35,15,30
2014-03-08,1,0,0,2,3,9,7,0,0,0,3,2,3,9,33,27,18,36
2014-03-09,0,0,0,0,4,5,1,0,0,0,0,8,1,4,20,26,21,27
2014-03-10,1,2,1,4,3,27,0,0,0,0,1,7,5,0,17,9,9,34
2014-03-11,0,1,2,2,2,9,1,1,0,0,1,4,2,6,18,7,8,34
2014-03-12,0,1,7,0,4,9,1,1,0,0,0,5,5,0,22,24,14,35
2014-03-13,5,1,7,6,7,8,3,0,0,0,0,6,3,1,15,31,9,33
2014-03-14,4,0,1,4,5,10,0,1,0,0,1,7,6,4,31,25,7,28
2014-03-15,0,0,2,2,2,9,0,1,0,1,0,7,3,0,25,26,13,19
2014-03-16,0,1,13,0,1,4,0,0,0,1,1,3,1,1,17,5,21,34
2014-03-17,0,2,4,4,3,8,8,1,0,0,0,11,0,0,9,5,17,26
2014-03-18,2,2,1,0,3,8,4,0,0,0,1,4,4,1,18,10,13,21
2014-03-19,0,1,3,7,2,6,6,0,0,0,4,7,3,3,27,31,8,35
2014-03-20,2,1,1,6,4,12,3,2,0,0,5,9,0,2,23,23,12,38
2014-03-21,0,1,2,0,1,6,22,1,0,0,1,8,10,1,29,24,10,45
2014-03-22,0,2,4,4,1,8,1,1,0,0,0,3,0,3,33,30,15,32
2014-03-23,0,0,4,1,2,28,2,1,0,0,2,5,3,1,13,13,27,27
2014-03-24,0,2,2,3,6,13,4,0,0,0,0,7,1,1,12,1,8,20
2014-03-25,1,0,3,2,3,3,4,0,0,0,2,6,0,0,20,16,8,22
2014-03-26,0,1,2,1,5,17,2,1,0,0,2,4,2,1,23,21,7,28
2014-03-27,0,1,7,0,8,7,4,4,0,0,1,10,5,4,30,30,10,37
2014-03-28,0,1,8,7,3,7,6,0,0,0,2,6,0,3,22,23,9,28
2014-03-29,0,1,15,0,2,8,7,0,0,1,2,2,2,1,26,23,17,25
2014-03-30,2,0,3,2,5,11,2,2,0,0,3,3,2,3,18,19,14,27
2014-03-31,0,1,4,3,5,11,4,0,0,0,0,6,4,1,5,3,7,37
2014-04-01,0,4,5,13,3,12,5,0,0,0,1,4,2,3,13,14,10,27
2014-04-02,2,1,1,6,4,13,4,0,0,0,2,5,1,2,33,13,5,41
2014-04-03,1,1,2,11,8,15,2,2,0,0,1,5,3,2,35,25,6,33
2014-04-04,0,0,18,6,6,17,1,0,0,0,0,5,0,8,27,31,8,30
2014-04-05,0,0,0,2,0,9,1,0,0,0,3,6,5,1,24,18,10,32
2014-04-06,0,1,1,2,1,9,1,0,0,1,1,5,2,1,15,7,14,16
2014-04-07,0,2,0,9,7,7,2,1,0,0,1,11,5,0,14,6,14,28
2014-04-08,1,4,1,0,12,10,3,0,0,0,0,8,1,2,14,4,10,28
2014-04-09,0,1,2,1,1,12,5,0,0,1,0,7,1,10,31,23,12,45
2014-04-10,0,3,2,2,1,10,4,0,0,0,0,5,0,4,29,35,7,32
2014-04-11,0,3,9,3,4,13,11,0,0,0,2,10,2,2,37,34,4,30
2014-04-12,0,2,2,2,3,9,0,0,0,0,3,8,4,4,36,32,14,23
2014-04-13,0,0,3,6,2,8,2,0,0,0,1,6,2,1,21,18,14,41
2014-04-14,0,0,1,2,0,3,3,0,0,0,0,4,3,3,8,2,4,25
2014-04-15,3,0,10,11,3,3,2,1,0,0,0,10,1,2,21,12,6,27
2014-04-16,0,0,10,8,5,7,0,5,0,0,8,4,3,1,23,27,7,41
2014-04-17,0,0,6,2,3,6,5,0,0,0,0,7,2,0,15,30,4,31
2014-04-18,2,0,4,12,6,5,1,0,0,0,3,9,1,1,46,37,9,39
2014-04-19,0,0,57,2,1,11,1,1,0,0,0,12,3,0,32,33,20,36
2014-04-20,0,0,2,3,2,4,2,1,0,0,0,9,1,3,22,11,16,30
2014-04-21,0,0,2,7,1,8,1,0,0,0,0,6,2,0,7,3,9,20
2014-04-22,0,0,25,8,0,10,7,3,1,0,0,3,4,4,20,10,9,28
2014-04-23,0,1,5,8,1,12,1,2,0,1,2,4,1,0,21,36,3,35
2014-04-24,0,0,1,6,11,8,1,1,0,0,2,8,1,1,29,42,10,39
2014-04-25,0,1,0,5,3,6,4,0,0,0,1,7,0,3,25,55,8,35
2014-04-26,0,0,2,4,2,9,4,1,0,0,2,13,5,2,33,26,10,32
2014-04-27,0,1,1,4,3,16,0,1,0,0,1,15,0,0,19,7,19,31
2014-04-28,1,0,1,2,1,2,1,0,0,0,0,5,3,2,8,5,18,27
2014-04-29,0,1,2,1,5,9,4,3,0,0,0,10,5,4,14,18,6,49
2014-04-30,1,1,15,2,4,9,2,0,0,0,0,10,1,15,15,31,9,60
2014-05-01,0,1,2,4,4,5,0,0,0,0,0,4,1,0,20,14,4,26
2014-05-02,0,1,4,3,3,4,0,1,0,0,2,11,1,0,29,42,10,43
2014-05-03,0,0,7,3,1,3,3,2,0,0,1,6,0,0,39,35,15,21
2014-05-04,0,0,1,5,10,4,5,9,0,0,2,10,2,1,23,12,12,27
2014-05-05,3,0,2,2,6,8,4,0,0,0,1,9,1,1,5,3,5,17
2014-05-06,0,1,4,5,5,17,3,2,0,0,2,4,1,1,30,17,8,30
2014-05-07,0,0,3,10,1,9,1,3,0,0,1,4,8,1,20,23,8,50
2014-05-08,1,3,0,3,2,7,1,3,0,1,1,6,2,0,16,37,4,60
2014-05-09,5,1,6,6,3,6,0,0,0,0,1,9,3,2,31,33,5,36
2014-05-10,0,0,13,6,3,6,0,0,0,0,2,12,1,5,31,31,22,25
2014-05-11,0,1,0,3,4,12,1,0,0,0,0,13,2,1,26,7,14,31
