"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-01-02,0,0,0,8,3,14,3,0,0,0,0,13,1,0,3,32,8,44
2014-01-06,0,0,18,0,9,7,5,0,0,0,3,10,1,14,7,52,4,36
2014-01-07,3,29,30,5,6,1,4,0,0,0,3,20,0,4,9,80,7,75
2014-01-08,8,10,0,16,16,3,3,11,0,0,5,10,15,3,12,104,17,46
2014-01-09,19,11,40,16,0,14,10,3,0,0,0,4,7,0,5,85,14,33
2014-01-10,0,11,18,0,8,2,8,0,0,0,10,5,10,0,10,45,5,21
2014-01-13,15,2,0,27,0,9,32,0,6,0,0,2,7,2,12,49,17,54
2014-01-14,0,3,7,8,16,29,5,0,0,0,0,11,6,0,6,80,3,59
2014-01-15,0,0,5,22,15,4,6,3,0,5,0,16,23,2,17,50,7,72
2014-01-16,17,0,10,0,10,18,3,0,0,0,0,11,0,11,5,49,1,37
2014-01-17,3,15,2,7,23,16,10,0,0,0,5,9,3,10,12,35,10,26
2014-01-21,2,29,9,4,0,3,8,0,0,0,0,3,2,2,4,32,11,42
2014-01-23,0,0,27,0,10,18,5,3,0,0,0,2,0,0,6,77,7,52
2014-01-24,0,12,0,7,6,17,5,4,0,0,1,4,5,0,18,51,5,49
2014-01-27,0,7,7,10,44,3,4,4,0,0,2,15,4,3,12,33,11,26
2014-01-28,13,18,20,6,7,8,15,0,0,0,0,9,6,0,7,67,6,65
2014-01-29,0,0,8,3,0,8,9,6,0,0,2,25,2,0,12,71,10,58
2014-01-30,0,0,20,26,9,6,13,0,0,0,0,10,4,0,8,89,5,80
2014-01-31,0,7,5,6,5,5,7,0,0,0,1,6,0,4,13,68,4,58
2014-02-03,3,0,0,0,0,7,10,0,0,0,2,2,5,0,7,27,6,13
2014-02-04,2,10,14,2,0,5,10,0,0,0,0,3,1,0,9,66,4,25
2014-02-05,0,0,0,4,7,15,14,0,0,0,3,19,4,0,4,32,2,55
2014-02-06,20,0,16,4,0,6,4,0,0,0,3,4,0,0,3,68,7,30
2014-02-07,0,3,30,4,18,22,4,5,0,0,2,8,14,2,10,30,7,42
2014-02-10,0,0,12,9,16,19,4,0,0,0,2,9,0,5,9,53,19,9
2014-02-11,0,6,0,10,13,18,24,0,0,0,0,12,8,0,22,62,3,62
2014-02-12,3,0,27,9,11,11,6,0,0,0,0,5,0,0,16,75,2,35
2014-02-14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-18,0,4,0,0,10,25,1,3,0,0,0,15,0,0,2,47,6,44
2014-02-19,10,0,23,21,17,30,3,7,0,0,0,10,19,0,6,73,1,31
2014-02-20,0,2,0,6,2,8,12,0,0,0,0,4,0,0,19,39,0,29
2014-02-21,0,0,0,15,2,6,9,0,0,2,1,4,4,2,12,38,2,32
2014-02-24,0,0,22,4,9,14,12,4,0,0,3,8,1,0,8,35,16,43
2014-02-25,0,20,22,13,37,14,24,2,0,0,0,12,5,6,7,106,3,39
2014-02-26,0,0,21,0,14,17,4,5,0,0,1,24,4,6,20,35,4,29
2014-02-27,1,0,13,15,0,26,4,4,0,0,0,15,12,2,16,38,17,38
2014-02-28,8,0,8,9,49,15,16,0,0,0,0,9,3,2,19,51,4,30
2014-03-03,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-04,23,10,43,23,11,15,8,0,0,0,0,13,0,0,12,132,17,51
2014-03-05,0,0,15,7,0,13,21,4,0,0,1,18,2,3,10,61,2,40
2014-03-06,0,10,16,9,7,28,17,0,0,0,0,22,2,6,6,73,10,68
2014-03-07,29,0,5,3,8,13,12,0,0,0,0,17,0,0,24,61,3,61
2014-03-10,20,0,5,47,3,17,0,0,0,0,7,11,1,6,9,46,10,51
2014-03-11,0,13,31,18,9,9,34,4,0,0,0,17,3,7,24,86,7,35
2014-03-12,0,0,0,6,4,6,20,0,0,0,3,24,11,7,16,39,5,28
2014-03-13,0,2,13,50,8,11,9,11,0,0,2,6,0,0,4,62,3,46
