"date_value","dispoType","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2014-01-02,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-02,"Total",0,0,0,0,0,0,0,0,1,1
2014-01-02,NA,0,0,0,0,0,0,0,0,1,1
2014-01-06,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-06,"Total",24,0,3,3,2,2,2,14,61,54
2014-01-06,NA,24,0,3,3,2,2,2,14,61,54
2014-01-07,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-07,"Total",6,0,17,1,0,2,10,13,52,36
2014-01-07,NA,6,0,17,1,0,2,10,13,52,36
2014-01-08,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-08,"Total",17,0,19,0,1,0,10,12,59,54
2014-01-08,NA,17,0,19,0,1,0,10,12,59,54
2014-01-09,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-09,"Total",8,0,5,2,1,4,3,18,58,51
2014-01-09,NA,8,0,5,2,1,4,3,18,58,51
2014-01-10,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-10,"Total",7,0,1,0,0,0,1,3,6,14
2014-01-10,NA,7,0,1,0,0,0,1,3,6,14
2014-01-11,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-11,"Total",47,0,17,0,52,9,11,57,34,104
2014-01-11,NA,47,0,17,0,52,9,11,57,34,104
2014-01-13,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-13,"Total",0,0,0,0,0,0,0,1,1,1
2014-01-13,NA,0,0,0,0,0,0,0,1,1,1
2014-01-14,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-14,"Total",2,0,1,0,0,0,0,1,1,1
2014-01-14,NA,2,0,1,0,0,0,0,1,1,1
2014-01-15,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-15,"Total",0,0,1,0,0,0,0,4,2,1
2014-01-15,NA,0,0,1,0,0,0,0,4,2,1
