"date_value","dc_district","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Other Assaults","Sexual Assault and Other Sex Offenses","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Fraud/Theft of Services","Embezzlement","Drug Possession","Drug Sales","DUI","Possession of Firearms","Prostitution/Sex Work","Patronizing Prostitutes","Threats of Violence","Uncategorized Offenses"
2014-01-02,"01",0,0,62,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,69
2014-01-02,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,39,0,0,0,0,50,0,0,0,0,31
2014-01-02,"03",0,0,0,0,0,0,0,0,128,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,25
2014-01-02,"04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"06",0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,131,0,0,0,0,230
2014-01-02,"07",0,0,0,0,0,16,113,0,0,0,0,0,0,0,197,0,0,0,0,49,0,0,0,0,0,0
2014-01-02,"08",0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,92,0,0,0,0,0,0,0
2014-01-02,"09",0,0,0,0,0,42,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,126,0,0,149
2014-01-02,"12",0,0,74,0,0,144,0,0,0,0,0,0,0,0,0,0,0,71,146,503,0,130,0,0,0,38
2014-01-02,"14",0,0,0,113,0,0,0,0,108,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1772
2014-01-02,"15",0,74,0,119,376,0,0,130,0,0,0,0,0,42,0,0,0,0,77,490,607,0,0,0,0,129
2014-01-02,"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"17",0,0,0,0,0,0,0,0,17,0,0,0,0,58,0,0,0,0,0,56,0,0,0,0,0,110
2014-01-02,"18",0,0,0,0,0,73,0,32,0,0,0,0,0,39,0,0,0,0,0,0,227,110,0,0,0,91
2014-01-02,"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,91,36,0,0,0,0
2014-01-02,"22",0,0,62,104,0,0,0,465,0,0,0,0,0,59,0,0,0,0,394,85,181,0,0,0,0,0
2014-01-02,"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610
2014-01-02,"24",0,0,0,0,0,67,76,0,0,0,0,0,122,154,0,122,0,0,186,126,0,0,70,0,0,3404
2014-01-02,"25",0,0,15,0,516,0,0,0,0,0,0,0,0,0,0,76,0,0,141,66,98,0,0,0,0,156
2014-01-02,"26",0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,919,0,0,262,14,0,0,0,300,0,0
2014-01-02,"35",0,0,0,541,0,844,0,0,0,0,0,0,0,0,0,15,0,0,131,240,0,657,0,0,0,0
2014-01-02,"39",0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,460,0,0,0,0,0
2014-01-02,"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
2014-01-02,"unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0
2014-01-03,"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
